LR,KNN,RF,GB,AB
0.18018018018018017,0.26490066225165565,0.3440860215053763,0.1581920903954802,0.15450643776824036
0.24107142857142858,0.4228571428571429,0.576271186440678,0.29441624365482233,0.24193548387096778
0.22317596566523606,0.39263803680981596,0.4716981132075472,0.22105263157894736,0.1912350597609562
0.24271844660194172,0.375,0.5454545454545455,0.3190184049079755,0.2026431718061674
0.20853080568720378,0.34394904458598724,0.41379310344827586,0.21686746987951808,0.1938325991189427
0.8864864864864865,0.9688289806234205,0.9779286926994907,0.9479077711357814,0.9272882805816938
0.9025641025641025,0.9919246298788694,0.9926025554808339,0.9626038781163435,0.9597222222222223
0.9176300578034682,0.9850948509485095,0.9850948509485095,0.9524475524475524,0.9582753824756607
0.9009537784299338,0.9912457912457913,0.988521269412559,0.9611650485436893,0.9307637401855817
0.9057706355003652,0.985781990521327,0.985781990521327,0.9597222222222223,0.932287954383464
